Day,Barrels
10/26/2007,997433
10/19/2007,998518
10/12/2007,1006364
10/5/2007,1003829
9/28/2007,1004348
9/21/2007,1003397
9/14/2007,999213
9/7/2007,1002077
8/31/2007,1005439
8/24/2007,1010856
8/17/2007,1013016
8/10/2007,1012505
8/3/2007,1017012
7/27/2007,1017134
7/20/2007,1017876
7/13/2007,1013136
7/6/2007,1011887
6/29/2007,1009446
6/22/2007,1001205
6/15/2007,1000643
6/8/2007,990761
6/1/2007,990094
5/25/2007,986323
5/18/2007,984585
5/11/2007,978207
5/4/2007,971286
4/27/2007,965015
4/20/2007,964854
4/13/2007,964973
4/6/2007,964749
3/30/2007,964836
3/23/2007,962188
3/16/2007,961792
3/9/2007,964702
3/2/2007,967267
2/23/2007,983158
2/16/2007,992035
2/9/2007,1003096
2/2/2007,1014388
1/26/2007,1024884
1/19/2007,1024581
1/12/2007,1023121
1/5/2007,1014066
12/29/2006,1007428
12/22/2006,1005628
12/15/2006,1012996
12/8/2006,1020926
12/1/2006,1028395
11/24/2006,1032765
11/17/2006,1040312
11/10/2006,1036437
11/3/2006,1045456
10/27/2006,1052230
10/20/2006,1055574
10/13/2006,1066918
10/6/2006,1072703
9/29/2006,1072459
9/22/2006,1068431
9/15/2006,1059272
9/8/2006,1055009
9/1/2006,1050565
8/25/2006,1048712
8/18/2006,1044701
8/11/2006,1040437
8/4/2006,1039279
7/28/2006,1041323
7/21/2006,1036182
7/14/2006,1033657
7/7/2006,1027014
6/30/2006,1028856
6/23/2006,1028588
6/16/2006,1028031
6/9/2006,1020183
6/2/2006,1013521
5/26/2006,1007034
5/19/2006,998914
5/12/2006,995307
5/5/2006,993516
4/28/2006,988051
4/21/2006,985856
4/14/2006,983056
4/7/2006,988906
3/31/2006,991682
3/24/2006,996303
3/17/2006,999605
3/10/2006,1005099
3/3/2006,1008137
2/24/2006,1007006
2/17/2006,1010956
2/10/2006,1013007
2/3/2006,1008844
1/27/2006,1006053
1/20/2006,1004201
1/13/2006,1000325
1/6/2006,995095
12/30/2005,993515
12/23/2005,995679
12/16/2005,1003025
12/9/2005,1010894
12/2/2005,1009606
11/25/2005,1003765
11/18/2005,1001592
11/11/2005,999984
11/4/2005,1001032
10/28/2005,989484
10/21/2005,987940
10/14/2005,988165
10/7/2005,981909
9/30/2005,988930
9/23/2005,998825
9/16/2005,996314
9/9/2005,989478
9/2/2005,993600
8/26/2005,1008473
8/19/2005,1006016
8/12/2005,1005580
8/5/2005,1008891
7/29/2005,1005508
7/22/2005,1000618
7/15/2005,1002886
7/8/2005,1000442
7/1/2005,999479
6/24/2005,997616
6/17/2005,988235
6/10/2005,985336
6/3/2005,982511
5/27/2005,982544
5/20/2005,975119
5/13/2005,971120
5/6/2005,962977
4/29/2005,956258
4/22/2005,951247
4/15/2005,944566
4/8/2005,945783
4/1/2005,939995
3/25/2005,936891
3/18/2005,931307
3/11/2005,931104
3/4/2005,936245
2/25/2005,934892
2/18/2005,934472
2/11/2005,935086
2/4/2005,936592
1/28/2005,941988
1/21/2005,945124
1/14/2005,947390
1/7/2005,944483
12/31/2004,949433
12/24/2004,951865
12/17/2004,958670
12/10/2004,959321
12/3/2004,962266
11/26/2004,956679
11/19/2004,950347
11/12/2004,948481
11/5/2004,950394
10/29/2004,947564
10/22/2004,943682
10/15/2004,942421
10/8/2004,945441
10/1/2004,946269
9/24/2004,946488
9/17/2004,945937
9/10/2004,958993
9/3/2004,962619
8/27/2004,962242
8/20/2004,963163
8/13/2004,961938
8/6/2004,960446
7/30/2004,962369
7/23/2004,959703
7/16/2004,952460
7/9/2004,950749
7/2/2004,950343
6/25/2004,944309
6/18/2004,940234
6/11/2004,935586
6/4/2004,930977
5/28/2004,927350
5/21/2004,918608
5/14/2004,917446
5/7/2004,913912
4/30/2004,911024
4/23/2004,902984
4/16/2004,896228
4/9/2004,891693
4/2/2004,896833
3/26/2004,902148
3/19/2004,896301
3/12/2004,890511
3/5/2004,888730
2/27/2004,881934
2/20/2004,879229
2/13/2004,883933
